"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
12.150,-0.00119,-0.02,0.51
12.175,-0.00156,-5.47E-4,0.68
12.200,-0.00123,0.02,0.52
12.225,-3.68146E-4,0.03,0.13
12.250,4.96614E-4,0.03,-0.31
12.275,0.00120,0.01,-0.61
12.300,0.00122,-0.01,-0.64
12.325,7.17106E-4,-0.03,-0.37
12.350,-3.19849E-4,-0.03,0.09
12.375,-0.00119,-0.02,0.52
12.400,-0.00156,-5.79E-4,0.69
12.425,-0.00123,0.02,0.53
12.450,-3.72975E-4,0.03,0.11
12.475,6.73450E-4,0.03,-0.36
12.500,0.00120,0.01,-0.65
12.525,0.00122,-0.01,-0.63
12.550,5.45085E-4,-0.03,-0.31
12.575,-4.96693E-4,-0.03,0.15
12.600,-0.00119,-0.02,0.54
12.625,-0.00156,0.00,0.68
12.650,-0.00123,0.02,0.49
12.675,-1.96164E-4,0.03,0.07
12.700,6.73450E-4,0.03,-0.39
12.725,0.00120,0.01,-0.66
12.750,0.00123,-0.01,-0.61
12.775,3.68220E-4,-0.03,-0.27
12.800,-4.91866E-4,-0.03,0.20
12.825,-0.00137,-0.02,0.58
12.850,-0.00156,0.00,0.68
12.875,-0.00106,0.02,0.45
12.900,-2.00996E-4,0.03,0.00
12.925,8.50293E-4,0.02,-0.44
12.950,0.00121,0.01,-0.66
12.975,0.00105,-0.02,-0.58
13.000,3.73065E-4,-0.03,-0.22
13.025,-6.68707E-4,-0.03,0.25
13.050,-0.00137,-0.01,0.60
13.075,-0.00157,0.01,0.66
13.100,-8.84095E-4,0.03,0.39
13.125,-2.41808E-5,0.03,-0.06
13.150,8.50293E-4,0.02,-0.47
13.175,0.00121,0.00,-0.66
13.200,0.00106,-0.02,-0.54
13.225,2.01044E-4,-0.03,-0.15
13.250,-8.45541E-4,-0.03,0.31
13.275,-0.00138,-0.01,0.62
13.300,-0.00139,0.01,0.63
13.325,-8.88913E-4,0.03,0.35
13.350,1.47802E-4,0.03,-0.12
13.375,0.00102,0.02,-0.54
13.400,0.00139,0.00,-0.69
13.425,8.84272E-4,-0.02,-0.50
13.450,2.41856E-5,-0.03,-0.07
13.475,-8.40721E-4,-0.03,0.37
13.500,-0.00155,-0.01,0.64
13.525,-0.00140,0.01,0.61
13.550,-7.12112E-4,0.03,0.30
13.575,1.47802E-4,0.03,-0.15
13.600,0.00102,0.02,-0.55
13.625,0.00139,0.00,-0.69
13.650,8.84272E-4,-0.02,-0.50
13.675,2.90233E-5,-0.03,-0.06
13.700,-0.00102,-0.03,0.41
13.725,-0.00155,-0.01,0.68
13.750,-0.00140,0.01,0.63
13.775,-7.16934E-4,0.03,0.28
13.800,3.19785E-4,0.03,-0.21
13.825,0.00120,0.02,-0.61
13.850,0.00139,-0.01,-0.71
13.875,8.89127E-4,-0.03,-0.46
13.900,-1.47832E-4,-0.03,0.00
13.925,-0.00102,-0.02,0.45
13.950,-0.00155,-0.01,0.68
13.975,-0.00140,0.02,0.59
14.000,-5.40129E-4,0.03,0.22
14.025,3.19785E-4,0.03,-0.25
14.050,0.00120,0.01,-0.60
14.075,0.00122,-0.01,-0.66
14.100,7.12254E-4,-0.03,-0.42
14.125,-1.42997E-4,-0.03,0.03
14.150,-0.00119,-0.02,0.47
14.175,-0.00155,0.00,0.69
14.200,-0.00140,0.02,0.58
14.225,-5.44954E-4,0.03,0.18
14.250,4.96614E-4,0.03,-0.31
14.275,0.00120,0.01,-0.64
14.300,0.00122,-0.01,-0.65
14.325,5.40237E-4,-0.03,-0.35
14.350,-3.19849E-4,-0.03,0.10
14.375,-0.00119,-0.02,0.51
14.400,-0.00156,-5.79E-4,0.68
14.425,-0.00123,0.02,0.52
14.450,-3.72975E-4,0.03,0.11
14.475,6.73450E-4,0.03,-0.36
14.500,0.00120,0.01,-0.66
14.525,0.00122,-0.01,-0.64
14.550,5.45085E-4,-0.03,-0.32
14.575,-4.91866E-4,-0.03,0.16
14.600,-0.00137,-0.02,0.57
14.625,-0.00156,0.00,0.69
14.650,-0.00123,0.02,0.48
14.675,-1.96164E-4,0.03,0.04
14.700,6.73450E-4,0.02,-0.41
14.725,0.00121,0.01,-0.66
14.750,0.00105,-0.01,-0.59
14.775,3.73065E-4,-0.03,-0.24
14.800,-6.68707E-4,-0.03,0.22
14.825,-0.00137,-0.02,0.58
14.850,-0.00156,0.01,0.67
14.875,-0.00106,0.02,0.45
14.900,-2.00996E-4,0.03,0.01
14.925,8.45439E-4,0.02,-0.45
14.950,0.00139,0.01,-0.69
14.975,0.00105,-0.02,-0.59
15.000,3.73065E-4,-0.03,-0.22
15.025,-6.68707E-4,-0.03,0.25
15.050,-0.00137,-0.02,0.60
15.075,-0.00156,0.01,0.68
15.100,-0.00106,0.03,0.43
15.125,-2.41808E-5,0.03,-0.03
15.150,8.45439E-4,0.02,-0.49
15.175,0.00139,0.00,-0.71
15.200,0.00106,-0.02,-0.57
15.225,2.01044E-4,-0.03,-0.16
15.250,-8.45541E-4,-0.03,0.32
15.275,-0.00137,-0.01,0.64
15.300,-0.00157,0.01,0.66
15.325,-8.88913E-4,0.03,0.35
15.350,1.47802E-4,0.03,-0.13
15.375,0.00103,0.02,-0.54
15.400,0.00121,0.00,-0.67
15.425,8.84272E-4,-0.02,-0.49
15.450,2.41856E-5,-0.03,-0.08
15.475,-8.40721E-4,-0.03,0.36
15.500,-0.00155,-0.01,0.64
15.525,-0.00140,0.01,0.61
15.550,-7.12112E-4,0.03,0.30
15.575,1.47802E-4,0.03,-0.15
15.600,0.00102,0.02,-0.55
15.625,0.00139,0.00,-0.69
15.650,8.84272E-4,-0.02,-0.50
15.675,2.90233E-5,-0.03,-0.06
15.700,-0.00102,-0.03,0.41
15.725,-0.00155,-0.01,0.68
15.750,-0.00140,0.01,0.63
15.775,-7.16934E-4,0.03,0.28
15.800,3.19785E-4,0.03,-0.21
15.825,0.00120,0.02,-0.61
15.850,0.00139,-0.01,-0.71
15.875,8.89127E-4,-0.03,-0.46
15.900,-1.47832E-4,-0.03,0.00
15.925,-0.00102,-0.02,0.46
15.950,-0.00155,-0.01,0.70
15.975,-0.00140,0.02,0.60
16.000,-5.44954E-4,0.03,0.20
16.025,4.96614E-4,0.03,-0.28
16.050,0.00120,0.01,-0.62
16.075,0.00122,-0.01,-0.66
16.100,7.12254E-4,-0.03,-0.39
16.125,-1.42997E-4,-0.03,0.06
16.150,-0.00119,-0.02,0.49
16.175,-0.00156,0.00,0.68
16.200,-0.00123,0.02,0.54
16.225,-3.68146E-4,0.03,0.14
16.250,4.96614E-4,0.03,-0.31
16.275,0.00120,0.01,-0.61
16.300,0.00122,-0.01,-0.64
16.325,7.17106E-4,-0.03,-0.37
16.350,-3.19849E-4,-0.03,0.09
16.375,-0.00119,-0.02,0.52
16.400,-0.00156,-5.79E-4,0.69
16.425,-0.00123,0.02,0.53
16.450,-3.72975E-4,0.03,0.11
16.475,6.73450E-4,0.03,-0.36
16.500,0.00120,0.01,-0.65
16.525,0.00122,-0.01,-0.63
16.550,5.45085E-4,-0.03,-0.30
16.575,-4.96693E-4,-0.03,0.17
16.600,-0.00119,-0.02,0.55
16.625,-0.00156,0.00,0.69
16.650,-0.00106,0.02,0.49
16.675,-2.00996E-4,0.03,0.04
16.700,8.45439E-4,0.03,-0.43
16.725,0.00138,0.01,-0.69
16.750,0.00123,-0.02,-0.61
16.775,3.68220E-4,-0.03,-0.25
16.800,-4.91866E-4,-0.03,0.23
16.825,-0.00137,-0.02,0.60
16.850,-0.00156,0.01,0.69
16.875,-0.00106,0.03,0.46
16.900,-2.41808E-5,0.03,0.00
16.925,8.45439E-4,0.02,-0.46
16.950,0.00138,0.01,-0.70
16.975,0.00123,-0.02,-0.61
17.000,3.73065E-4,-0.03,-0.22
17.025,-6.68707E-4,-0.03,0.27
17.050,-0.00137,-0.01,0.63
17.075,-0.00157,0.01,0.67
17.100,-8.84095E-4,0.03,0.40
