"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
7.825,0.0162330,0.01,-0.10
7.850,0.0334327,0.01,-0.21
7.875,0.0516010,1.61E-4,-0.23
7.900,0.0344007,-0.01,-0.17
7.925,0.0176840,-0.01,-0.07
7.950,-0.0172003,-0.01,0.04
7.975,-0.0344007,-0.01,0.12
8.000,-0.0520833,0.00,0.17
8.025,-0.0525656,0.00,0.16
8.050,-0.0353660,0.01,0.09
8.075,-0.0186492,0.01,-0.01
8.100,0.0167167,0.01,-0.09
8.125,0.0167167,0.00,-0.12
8.150,0.0167167,0.00,-0.11
8.175,0.0172003,0.00,-0.06
8.200,0.0000000,0.00,0.00
8.225,-0.0176833,0.00,0.05
8.250,-0.0176833,0.00,0.06
8.275,-0.0176833,-3.22E-5,0.05
8.300,-0.0176833,0.00,0.04
8.325,-0.0181663,0.00,0.02
8.350,-4.8332967E-4,0.00,-0.01
8.375,-4.8332967E-4,0.00,-0.03
8.400,-4.8332967E-4,0.00,-0.02
8.425,-4.8332967E-4,0.00,-0.01
8.450,-4.8332967E-4,0.00,0.00
8.475,-4.8332967E-4,0.00,0.00
8.500,-4.8332967E-4,0.00,0.00
8.525,-4.8332967E-4,0.00,2.15E-4
8.550,-4.8332967E-4,0.00,-0.01
8.575,-4.8332967E-4,3.22E-5,-0.02
8.600,-4.8332967E-4,0.00,-0.03
8.625,0.0000000,0.00,-0.02
8.650,-0.0176833,0.00,0.01
8.675,-0.0176833,0.00,0.03
8.700,-0.0176833,0.00,0.03
8.725,-0.0176833,-3.22E-5,0.03
8.750,-0.0176833,0.00,0.03
8.775,-0.0181663,0.00,0.02
8.800,-4.8332967E-4,0.00,-0.01
8.825,-4.8332967E-4,0.00,-0.04
8.850,-4.8332967E-4,3.22E-5,-0.05
8.875,-4.8332967E-4,0.00,-0.04
8.900,0.0000000,0.00,-0.02
8.925,-0.0176833,0.00,0.01
8.950,-0.0176833,0.00,0.03
8.975,-0.0176833,0.00,0.03
9.000,-0.0176833,-3.22E-5,0.03
9.025,-0.0176833,0.00,0.03
9.050,-0.0181663,0.00,0.02
9.075,-4.8332967E-4,0.00,-0.01
9.100,-4.8332967E-4,0.00,-0.04
9.125,-4.8332967E-4,3.22E-5,-0.05
9.150,-4.8332967E-4,0.00,-0.04
9.175,0.0000000,0.00,-0.02
9.200,-0.0176833,0.00,0.01
9.225,-0.0176833,0.00,0.03
9.250,-0.0176833,0.00,0.03
9.275,-0.0176833,-3.22E-5,0.03
9.300,-0.0176833,0.00,0.03
9.325,-0.0181663,0.00,0.02
9.350,-4.8332967E-4,0.00,-0.01
9.375,-4.8332967E-4,0.00,-0.04
9.400,-4.8332967E-4,3.22E-5,-0.05
9.425,-4.8332967E-4,0.00,-0.04
9.450,0.0000000,0.00,-0.02
9.475,-0.0176833,0.00,0.01
9.500,-0.0176833,0.00,0.03
