"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
6.975,0.00119,0.01,-0.33
7.000,0.00155,0.00,-0.47
7.025,0.00139,-0.01,-0.48
7.050,8.84272E-4,-0.03,-0.34
7.075,2.41856E-5,-0.03,-0.08
7.100,-8.35900E-4,-0.03,0.24
7.125,-0.00172,-0.02,0.52
7.150,-0.00190,0.00,0.64
7.175,-0.00174,0.02,0.59
7.200,-0.00106,0.03,0.38
7.225,-2.90164E-5,0.04,0.06
7.250,0.00101,0.03,-0.29
7.275,0.00188,0.02,-0.58
7.300,0.00224,0.00,-0.72
7.325,0.00209,-0.02,-0.66
7.350,0.00123,-0.03,-0.41
7.375,2.01044E-4,-0.04,-0.07
7.400,-8.31080E-4,-0.04,0.29
7.425,-0.00188,-0.02,0.59
7.450,-0.00224,-0.01,0.72
7.475,-0.00208,0.02,0.66
7.500,-0.00140,0.03,0.41
7.525,-3.72975E-4,0.04,0.08
7.550,6.63750E-4,0.03,-0.25
7.575,0.00154,0.02,-0.50
7.600,0.00189,0.01,-0.61
7.625,0.00191,-0.01,-0.55
7.650,0.00140,-0.02,-0.36
7.675,5.35389E-4,-0.03,-0.11
7.700,-1.52666E-4,-0.03,0.13
7.725,-8.45541E-4,-0.02,0.32
7.750,-0.00138,-0.01,0.42
7.775,-0.00138,0.00,0.42
7.800,-0.00122,0.01,0.31
7.825,-7.02468E-4,0.02,0.15
7.850,-1.86499E-4,0.02,0.00
7.875,3.34313E-4,0.02,-0.12
7.900,6.78300E-4,0.01,-0.19
7.925,0.00103,0.01,-0.22
7.950,0.00103,0.00,-0.22
7.975,0.00104,0.00,-0.21
8.000,8.69708E-4,-0.01,-0.18
8.025,5.25694E-4,-0.01,-0.12
8.050,1.86521E-4,-0.02,-0.05
8.075,-3.34340E-4,-0.02,0.05
8.100,-6.78354E-4,-0.01,0.16
8.125,-0.00103,-0.01,0.27
8.150,-0.00121,-2.89E-4,0.34
8.175,-0.00104,0.01,0.33
8.200,-7.07290E-4,0.02,0.24
8.225,-1.45090E-5,0.02,0.08
8.250,4.96614E-4,0.02,-0.11
8.275,0.00119,0.02,-0.30
8.300,0.00155,0.01,-0.44
8.325,0.00156,-0.01,-0.46
8.350,0.00122,-0.02,-0.37
8.375,5.35389E-4,-0.03,-0.19
8.400,-1.47832E-4,-0.03,0.04
8.425,-0.00102,-0.02,0.28
8.450,-0.00154,-0.01,0.46
8.475,-0.00172,7.30E-4,0.54
8.500,-0.00157,0.02,0.49
8.525,-8.84095E-4,0.03,0.30
8.550,-2.41808E-5,0.03,0.03
8.575,8.40586E-4,0.03,-0.25
8.600,0.00154,0.02,-0.46
8.625,0.00190,0.00,-0.57
8.650,0.00173,-0.01,-0.53
8.675,0.00123,-0.03,-0.37
8.700,3.68220E-4,-0.03,-0.11
8.725,-4.91866E-4,-0.03,0.18
8.750,-0.00137,-0.02,0.41
8.775,-0.00172,-0.01,0.53
8.800,-0.00173,0.01,0.52
8.825,-0.00140,0.02,0.41
8.850,-7.12112E-4,0.03,0.21
8.875,1.47802E-4,0.03,-0.06
8.900,0.00102,0.03,-0.32
8.925,0.00154,0.01,-0.48
8.950,0.00173,0.00,-0.49
8.975,0.00139,-0.01,-0.36
9.000,8.74562E-4,-0.02,-0.20
9.025,3.63376E-4,-0.02,-0.03
9.050,-3.29510E-4,-0.02,0.12
9.075,-8.50361E-4,-0.02,0.26
9.100,-0.00120,-0.01,0.35
9.125,-0.00139,0.00,0.37
9.150,-0.00104,0.01,0.30
9.175,-7.02468E-4,0.02,0.18
9.200,-1.91331E-4,0.02,0.03
9.225,5.06306E-4,0.02,-0.10
9.250,8.50293E-4,0.02,-0.21
9.275,0.00120,0.01,-0.29
9.300,0.00138,2.59E-4,-0.33
9.325,0.00121,-0.01,-0.32
9.350,8.74562E-4,-0.02,-0.23
9.375,3.63376E-4,-0.02,-0.09
9.400,-3.29510E-4,-0.02,0.08
9.425,-8.50361E-4,-0.02,0.23
9.450,-0.00120,-0.01,0.35
9.475,-0.00138,8.25E-4,0.41
9.500,-0.00122,0.01,0.37
9.525,-7.07290E-4,0.02,0.23
9.550,-1.93450E-5,0.03,0.04
9.575,6.73450E-4,0.02,-0.16
9.600,0.00119,0.02,-0.33
9.625,0.00155,0.01,-0.43
9.650,0.00156,-0.01,-0.44
9.675,0.00122,-0.02,-0.34
9.700,5.35389E-4,-0.03,-0.17
